corr,peak_idx,peak_val
all,23723,1665.433030379144
all,23779,1630.8431763845958
all,23835,1665.5317117516533
all,23899,1639.3107297273527
all,24016,1672.3995696047523
all,24251,1720.3965041530744
all,24349,1648.391229105616
all,24426,1664.954116288145
all,24626,1614.0776677398508
all,25180,1649.2344007418967
all,25405,1665.2063801117945
all,25457,1673.8318798222278
all,25732,1684.7433037531212
all,25798,1639.6475548926048
all,26083,1667.9815749798183
all,26309,1614.0513968768962
all,26823,1668.102075625302
all,26837,1624.5173068088395
all,26902,1639.2208092707647
all,26903,1638.5537158464494
all,27128,1720.5167158437316
all,27147,1665.522478004426
all,27206,1702.3846332651935
all,27217,1722.657349621445
all,27271,1667.5830647461346
all,27388,1685.853201621988
all,27389,1676.2242838548477
all,27444,1646.7360040639746
all,27499,1622.1629664350787
all,27549,1666.325969748315
all,27652,1671.5549530890294
all,27741,1628.1680457338584
all,27832,1648.7840590166095
all,28036,1638.5643698866725
all,28274,1674.142495426723
all,28534,1649.444666269786
all,28625,1675.9277608795267
all,28779,1667.0727921163664
all,28855,1604.7699057684424
all,28949,1666.146965003097
all,29053,1653.4170877268584
all,29156,1606.260583809514
all,29432,1617.436064345949
all,29982,1624.5420207195032
all,30301,1577.8884160440539
all,30539,1643.8840734963965
all,30663,1666.8137073043908
all,30745,1678.0333561531859
all,30800,1612.484797195109
all,30861,1608.1330006063993
all,31122,1646.0947641301425
all,31397,1615.9906756957018
all,31713,1600.6487086602465
all,31760,1641.9459726993648
all,31925,1642.0648515243593
all,31988,1573.7188099065336
all,32052,1676.3311145031143
all,32083,1682.4277943681902
all,32293,1722.2658607180822
all,32569,1623.1279948270437
