corr,peak_idx,peak_val
all,254,16227.106478684362
all,645,16221.142795315322
all,1037,16162.917734985966
all,1429,16278.386179393157
all,1430,16274.161092452121
all,1821,16137.714823138695
all,2213,16232.011477862154
all,2605,16323.14153657
all,2606,16320.601906799384
all,2997,16084.350194729674
all,3389,16282.285051775005
all,3781,16318.37600776151
all,4173,16033.506425588543
all,4566,16323.933504198947
all,4957,16230.528221587012
all,4958,16232.798430194684
all,5350,16111.926538022004
all,5742,16322.903073819187
all,6134,16184.527875211415
all,6526,16182.302553482117
all,6917,16308.296083063911
all,6918,16311.18518120015
all,7310,16160.004673449954
all,7702,16247.132341464197
all,8093,16200.644078439573
all,8094,16203.570479291286
all,8486,16181.79290274284
all,8878,16320.989598521732
all,9269,16098.111012782052
all,9270,16105.512837277367
all,9662,16251.758745089755
all,10054,16324.681350738683
all,10446,16059.09910485303
all,10838,16298.454344508134
all,11230,16284.314622658401
all,11622,16077.487053183919
all,12014,16335.885843989077
all,12405,16220.163495292272
all,12406,16239.934010156017
all,12798,16114.640973533596
all,13190,16304.879785484014
all,13582,16186.04446215493
all,13974,16177.841395195335
all,14366,16283.87115320966
all,14758,16203.307201995569
all,15150,16288.058943402571
all,15542,16185.660742714543
all,15934,16219.427059859374
all,16326,16327.286193834305
all,16718,16108.968214620538
all,17110,16270.189548802377
all,17502,16312.442059936624
all,17894,16092.439368780595
all,18286,16336.671956687609
all,18678,16261.196954860085
all,19070,16078.467288375645
all,19462,16348.709656397235
all,19854,16233.385847677633
all,20246,16146.343651130555
all,20638,16311.869208183047
all,21030,16209.24111827211
all,21422,16236.924910967458
all,21814,16267.187885793368
all,22206,16189.930908933926
all,22598,16292.077951488005
all,22990,16172.366774822382
all,23382,16216.878023703282
all,23774,16340.352833800353
all,24166,16122.128604810538
all,24558,16271.405573125452
all,24950,16332.021195242673
all,25342,16077.80487759027
all,25734,16350.693998991055
all,26126,16260.92291626987
all,26518,16121.15692039691
all,26910,16363.197103288381
all,27302,16236.686384492818
all,27694,16190.96541593444
all,28086,16342.619031604765
all,28478,16201.171813369947
all,28870,16262.655158115524
all,29262,16236.113277508563
all,29654,16213.772102023082
all,30046,16342.475006339897
all,30438,16172.946755895946
all,30830,16267.258985487531
all,31222,16347.04403949263
all,31614,16133.835753016738
all,32006,16337.326812742212
all,32398,16306.522830199072
